file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/SandBoxService.java,org.broadleafcommerce.openadmin.server.service.persistence.SandBoxService,interface,6,13,1,0,78,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/InspectHelper.java,org.broadleafcommerce.openadmin.server.service.persistence.module.InspectHelper,interface,6,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/RecordHelper.java,org.broadleafcommerce.openadmin.server.service.persistence.module.RecordHelper,interface,13,16,1,0,120,0.0,0.0,16,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/AdornedTargetListPersistenceModule.java,org.broadleafcommerce.openadmin.server.service.persistence.module.AdornedTargetListPersistenceModule$AdornedTargetRetrieval,innerclass,19,8,1,28,2,0.4,1.0,5,0,5,0,0,0,5,0,0,0,6,0,0,6,0,0,0,0,2,47,4,1,1,0,0,4,1,15,3,15,2,0,0,0,47,1,0
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/AdornedTargetListPersistenceModule.java,org.broadleafcommerce.openadmin.server.service.persistence.module.AdornedTargetListPersistenceModule$Anonymous1,anonymous,1,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/AdornedTargetListPersistenceModule.java,org.broadleafcommerce.openadmin.server.service.persistence.module.AdornedTargetListPersistenceModule,class,34,43,2,73,25,0.22222222,0.22222222,10,0,9,0,1,0,10,0,0,0,1,1,0,1,0,0,1,0,14,286,7,3,11,5,2,38,11,98,21,85,4,1,1,0,129,1,8
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/PersistenceModule.java,org.broadleafcommerce.openadmin.server.service.persistence.module.PersistenceModule,interface,8,8,1,0,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/MapStructurePersistenceModule.java,org.broadleafcommerce.openadmin.server.service.persistence.module.MapStructurePersistenceModule,class,32,52,2,86,16,0.2777778,0.2777778,9,0,7,0,2,0,9,0,0,0,1,1,0,1,0,0,1,0,28,273,12,2,15,6,15,35,13,85,10,66,4,0,0,0,147,1,9
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/FieldManager.java,org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager$SortableValue,innerclass,2,17,1,7,0,1.0,1.0,5,0,4,1,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,40,12,0,9,0,2,0,5,9,7,6,2,0,0,0,26,2,0
/home/quentin/IdeaProjects/cours-iail-classif-dev/data/../BroadleafCommerce/admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/module/FieldManager.java,org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager,class,11,31,1,28,3,0.42857143,0.47619048,7,1,7,0,0,0,7,0,0,0,4,1,0,1,3,0,1,0,6,206,7,5,11,4,0,14,14,51,7,33,6,0,1,0,101,1,3
